"PASSWORD","W0_1","W0_2","W0_3","W0_4","W0_5","W0_6","W0_7","W0_8","W0_9","W0_10","W0_11","W0_12","W0_13","W0_14","W0_15","W0_16","W0_17","W0_18","W0_19","W0_20","W0_21","W0_22","W0_23","W0_24","W0_25","W0_26","W1_1","W1_2","W1_3","W1_4","W1_5","W1_6","W1_7","W1_8","W2_1","W2_2","W2_3","W2_4","W2_5","W2_6","W2_7","W2_8","W2_9","W2_10","W2_11","W2_12","W3_1","W3_2","W3_3","W3_4","W3_5","W3_6","W3_7","W3_8","W4_1","W4_2","W4_3","W7_1","W7_2","W7_3","W7_4","W7_5","W7_6","W7_7","W7_8","W7_9","W7_10","W8_1","W8_2","W8_3","W8_4","W8_5","W8_6","W11_1","W11_2","W11_3","W11_4","W11_5","W11_6","W11_7","W12_1","W12_2","W12_3","W12_4","W12_5","W12_6","W12_7","W12_8","W14_1","W14_2","W14_3","W14_4","W14_5","W14_6","W14_7","W14_8","W14_9","W14_10","W14_11","W14_12","W14_13","W14_14","W14_15","W14_16","W14_17","W14_18","W14_19","W14_20","W14_21","W14_22","W14_23","W14_24"
"aspen8478",6,4,5,5,5,5,5,5,4,5,5,4,3,5,7,6,6,6,6,5,5,6,5,5,6,5,7,8,8,9,2,3,3,3,7,9,8,7,7,6,6,4,4,5,5,5,8,8,7,8,4,5,5,5,5,5,4,61,61,84,93,75,52,72,53,70,55,5,5,2,4,6,3,2,2,2,2,3,2,3,2,3,4,4,4,5,3,4,5,7,6,7,6,5,5,5,4,4,4,4,6,6,5,5,2,2,3,1,4,5,4,3
"onyx8113",4,5,6,5,5,5,5,6,5,5,5,4,5,6,5,6,5,6,5,5,4,4,5,4,3,5,9,8,8,8,5,4,4,4,8,8,8,8,7,8,5,5,4,5,4,5,6,7,7,6,7,5,7,6,4,4,3,69,65,51,71,58,66,76,79,69,60,5,3,5,3,4,5,3,2,3,3,3,4,4,5,1,4,2,4,4,5,4,4,5,4,5,3,4,5,4,3,3,2,2,4,6,6,4,4,3,2,2,3,4,4,4
"basil7339",7,7,5,6,5,5,5,7,6,6,5,7,6,5,4,4,4,6,4,5,4,4,5,3,4,4,8,7,7,9,5,6,4,7,8,8,8,7,7,9,5,6,5,5,5,5,6,6,7,7,6,8,4,6,4,5,4,67,53,34,68,70,86,78,99,77,65,5,4,4,6,3,2,4,3,2,3,3,3,4,4,4,4,3,4,3,4,3,7,6,5,7,3,4,4,4,4,5,5,3,5,4,4,3,4,5,4,4,4,3,4,4
"cove9145",7,6,7,6,7,7,5,6,5,5,5,5,5,4,5,6,6,6,5,5,4,4,4,5,5,5,9,9,9,10,5,6,4,5,7,7,7,7,7,8,4,7,5,5,5,8,7,6,6,7,7,6,6,7,5,5,5,67,76,83,60,60,62,64,57,65,58,4,5,4,3,5,5,3,2,2,3,4,4,4,1,1,6,1,6,1,6,6,4,4,5,4,4,5,5,5,3,3,4,4,4,3,4,5,3,4,4,4,4,3,3,3
"flint7490",6,5,4,4,5,5,4,5,4,5,5,4,4,4,6,6,7,7,6,5,5,5,5,5,6,4,7,10,9,10,5,6,4,4,7,7,6,6,6,6,8,7,7,7,9,6,8,7,8,8,4,4,6,6,4,3,4,59,53,42,71,50,90,90,74,76,73,6,4,4,2,4,4,2,3,3,3,2,2,2,2,2,4,4,4,3,5,4,6,6,5,5,4,4,4,4,5,4,5,4,5,6,3,4,4,4,4,4,3,4,3,3
"gable2596",7,6,6,7,6,6,3,3,3,3,3,3,3,3,5,6,4,6,5,3,4,1,3,2,3,2,8,10,10,8,3,5,7,4,5,7,5,5,5,5,5,6,6,6,7,5,8,9,8,9,7,6,4,6,2,3,2,74,75,71,58,65,46,64,62,71,67,5,6,4,2,5,3,3,3,3,2,2,3,3,1,4,4,2,5,3,5,4,5,4,6,5,3,5,3,3,4,4,5,4,6,6,6,6,6,7,6,6,4,4,3,4
"heron8725",4,4,3,5,4,4,3,3,4,4,3,6,5,6,6,5,6,4,6,5,6,5,4,6,5,6,7,8,6,8,4,6,4,5,9,8,9,4,4,6,6,5,6,4,4,3,7,8,7,7,4,5,5,4,4,6,5,100,74,74,85,70,60,56,64,81,57,5,6,5,3,5,5,3,4,4,4,4,4,3,1,3,4,3,4,2,5,5,5,5,6,4,3,4,2,3,2,3,2,2,4,4,4,5,5,5,6,5,4,5,5,4
"indigo6874",6,5,5,6,5,6,5,6,5,5,5,5,6,5,4,4,4,4,3,5,5,5,5,5,5,5,6,9,7,9,6,7,6,7,8,8,7,6,6,6,7,6,7,6,5,4,9,7,7,8,6,7,7,8,7,6,5,100,94,74,99,82,53,44,39,61,71,6,5,5,4,3,4,4,3,4,3,3,3,3,2,1,6,1,6,1,5,5,6,4,5,4,5,4,4,4,2,3,3,3,4,5,4,5,5,4,5,5,4,3,3,5
"juniper1886",4,5,5,4,4,4,5,5,5,5,5,5,6,6,4,4,5,4,4,4,5,6,5,5,6,6,8,9,6,8,4,3,4,3,6,5,6,6,5,7,5,6,7,4,3,3,8,7,8,9,8,6,7,8,5,7,7,59,77,60,59,59,31,39,29,47,52,5,5,4,4,5,4,2,3,3,3,2,2,3,3,4,3,4,3,4,2,3,5,6,5,4,5,5,6,6,3,3,2,3,4,4,5,4,5,5,4,4,4,4,4,4
"kelp3684",6,6,6,7,6,5,5,4,6,5,5,6,4,5,3,5,6,4,4,5,4,6,5,4,5,5,7,8,8,6,6,5,6,6,6,5,7,3,5,4,7,6,7,4,6,3,7,8,7,8,6,5,6,6,4,3,3,65,53,66,55,51,65,77,83,72,51,6,6,4,5,3,5,3,3,3,3,3,3,3,2,2,5,1,4,2,4,4,6,6,5,5,6,5,4,5,2,2,2,1,5,6,4,5,6,6,4,6,5,4,3,4
"lumen2490",6,7,7,6,6,7,5,5,5,5,5,4,4,5,7,6,7,6,7,4,5,4,4,4,4,3,9,7,7,8,2,3,4,1,7,8,6,5,6,4,5,4,5,7,6,7,5,5,6,6,8,7,8,9,6,7,7,82,79,68,85,84,68,73,62,80,50,5,5,6,1,2,4,3,3,3,3,3,3,4,3,2,3,3,5,3,3,4,5,5,4,5,6,5,5,6,5,3,3,4,6,6,6,5,5,6,6,6,4,2,3,4
"marsh9701",6,6,6,5,5,6,5,5,6,7,5,5,6,6,6,5,6,6,6,5,5,6,6,5,5,5,8,9,10,8,6,5,7,6,9,7,9,7,7,9,5,6,5,5,6,4,6,8,8,6,7,8,7,7,4,4,5,61,99,53,75,90,58,53,55,57,45,5,6,3,4,4,6,3,3,3,3,4,4,4,3,2,4,3,4,4,5,4,5,6,6,7,4,5,5,5,3,4,4,3,6,5,6,6,6,5,5,5,4,4,4,4
"nimbus7550",5,4,4,3,5,4,4,5,5,5,5,5,6,6,6,6,6,6,5,4,5,4,4,4,5,4,7,7,8,9,8,8,8,8,7,6,5,7,8,8,6,6,6,5,5,4,7,7,8,7,7,7,8,9,2,4,3,66,55,58,34,39,98,74,82,62,77,4,6,4,3,4,5,3,3,3,3,3,3,3,2,2,5,3,4,3,5,5,7,6,7,7,5,5,4,3,3,4,3,4,3,6,4,6,5,3,4,3,3,4,3,2
"opal9277",5,6,6,5,5,7,5,5,5,5,5,5,6,6,4,5,5,5,5,3,3,6,6,6,5,5,7,10,9,9,3,7,6,5,6,6,5,4,5,6,5,4,5,5,6,5,7,6,8,6,8,9,8,8,5,5,6,59,57,61,54,27,46,57,52,58,44,5,4,4,4,6,6,3,3,3,3,3,3,3,4,3,3,4,3,3,4,2,6,5,5,6,5,5,5,4,2,3,1,1,5,5,5,5,3,3,3,2,2,2,3,2
